ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
HitEffect,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/Map/effect/SlashHitSpark_0.png,0,0,17,16,8.5,8,1,0
graphics/Map/effect/SlashHitSpark_1.png,0,0,47,26,23.5,13,1,0
graphics/Map/effect/SlashHitSpark_2.png,0,0,38,21,19,10.5,1,0
graphics/Map/effect/SlashHitSpark_3.png,0,0,23,13,11.5,6.5,1,0
graphics/Map/effect/SlashHitSpark_4.png,0,0,13,15,6.5,7.5,1,0
graphics/Map/effect/SlashHitSpark_5.png,0,0,25,24,12.5,12,1,0
graphics/Map/effect/SlashHitSpark_6.png,0,0,42,46,21,23,1,0
