ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
FinalBossBackHandDown,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/FinalBossBackHandDown0.png,0,0,48,48,24,24,0,0
graphics/FinalBossBackHandDown1.png,0,0,48,48,24,24,0,0
graphics/FinalBossBackHandDown2.png,0,0,48,48,24,24,0,0
graphics/FinalBossBackHandDown3.png,0,0,48,48,24,24,0,0
graphics/FinalBossBackHandDown4.png,0,0,48,48,24,24,0,0
graphics/FinalBossBackHandDown5.png,0,0,48,48,24,24,0,0
graphics/FinalBossBackHandDown6.png,0,0,48,48,24,24,0,0
