ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
BackHandLeft,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/WizardBackHandRight0.png,0,0,28,34,14,17,1,0
graphics/WizardBackHandRight1.png,0,0,32,34,16,17,1,0
graphics/WizardBackHandRight2.png,0,0,32,40,16,20,1,0
graphics/WizardBackHandRight3.png,0,0,28,38,14,19,1,0
graphics/WizardBackHandRight4.png,0,0,30,32,15,16,1,0
graphics/WizardBackHandRight5.png,0,0,28,32,14,16,1,0
graphics/WizardBackHandRight6.png,0,0,28,32,14,16,1,0
graphics/WizardBackHandRight7.png,0,0,28,34,14,17,1,0
graphics/WizardBackHandRight8.png,0,0,22,36,11,18,1,0
