ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
Die,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/WizardDeadDown0.png,0,0,22,33,11,16.5,0,0
graphics/WizardDeadDown1.png,0,0,24,34,12,17,0,0
graphics/WizardDeadDown2.png,0,0,22,34,11,17,0,0
graphics/WizardDeadDown3.png,0,0,22,32,11,16,0,0
graphics/WizardDeadDown4.png,0,0,22,30,11,15,0,0
graphics/WizardDeadDown5.png,0,0,24,26,12,13,0,0
graphics/WizardDeadDown6.png,0,0,30,24,15,12,0,0
graphics/WizardDeadDown7.png,0,0,24,30,12,15,0,0
graphics/WizardDeadDown8.png,0,0,30,34,15,17,0,0
graphics/WizardDeadDown8.png,0,0,30,34,15,17,0,0
