ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
PBAoEDown,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/WizardPBAoEDown0.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown1.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown2.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown3.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown4.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown5.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown6.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown7.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoEDown8.png,0,0,48,48,24,24,0,0
