ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
PBAoERight,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/WizardPBAoERight0.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight1.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight2.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight3.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight4.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight5.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight6.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight7.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight8.png,0,0,48,48,24,24,0,0
graphics/WizardPBAoERight9.png,0,0,48,48,24,24,0,0
