ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
ChaosWave,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/ChaosWave_0.png,0,0,74,114,37,57,0,0
graphics/ChaosWave_1.png,0,0,73,101,36.5,50.5,0,0
graphics/ChaosWave_2.png,0,0,75,101,37.5,50.5,0,0
graphics/ChaosWave_3.png,0,0,71,99,35.5,49.5,0,0
graphics/ChaosWave_4.png,0,0,67,67,33.5,33.5,0,0
graphics/ChaosWave_5.png,0,0,82,57,41,28.5,0,0
graphics/ChaosWave_6.png,0,0,96,47,48,28.5,0,0
graphics/ChaosWave_7.png,0,0,105,50,52.5,25,0,0
graphics/ChaosWave_8.png,0,0,112,51,56,25.5,0,0
