ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
WindEffects,1,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/WindEffects_0.png,0,0,128,144,20,80,0,0
graphics/WindEffects_1.png,0,0,128,144,20,80,0,0
graphics/WindEffects_2.png,0,0,128,144,20,80,0,0
graphics/WindEffects_3.png,0,0,128,144,20,80,0,0
graphics/WindEffects_4.png,0,0,128,144,20,80,0,0
graphics/WindEffects_5.png,0,0,128,144,20,80,0,0
graphics/WindEffects_6.png,0,0,128,144,20,80,0,0
graphics/WindEffects_7.png,0,0,128,144,20,80,0,0
graphics/WindEffects_8.png,0,0,128,144,20,80,0,0
graphics/WindEffects_9.png,0,0,128,144,20,80,0,0
graphics/WindEffects_10.png,0,0,128,144,20,80,0,0
graphics/WindEffects_11.png,0,0,128,144,20,80,0,0
graphics/WindEffects_12.png,0,0,128,144,20,80,0,0
